Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights,Topic 30 words,Topic 30 weights,Topic 31 words,Topic 31 weights,Topic 32 words,Topic 32 weights,Topic 33 words,Topic 33 weights,Topic 34 words,Topic 34 weights,Topic 35 words,Topic 35 weights,Topic 36 words,Topic 36 weights,Topic 37 words,Topic 37 weights,Topic 38 words,Topic 38 weights,Topic 39 words,Topic 39 weights,Topic 40 words,Topic 40 weights,Topic 41 words,Topic 41 weights,Topic 42 words,Topic 42 weights,Topic 43 words,Topic 43 weights,Topic 44 words,Topic 44 weights,Topic 45 words,Topic 45 weights,Topic 46 words,Topic 46 weights,Topic 47 words,Topic 47 weights,Topic 48 words,Topic 48 weights,Topic 49 words,Topic 49 weights,Topic 50 words,Topic 50 weights,Topic 51 words,Topic 51 weights,Topic 52 words,Topic 52 weights,Topic 53 words,Topic 53 weights,Topic 54 words,Topic 54 weights,Topic 55 words,Topic 55 weights,Topic 56 words,Topic 56 weights,Topic 57 words,Topic 57 weights,Topic 58 words,Topic 58 weights,Topic 59 words,Topic 59 weights,Topic 60 words,Topic 60 weights,Topic 61 words,Topic 61 weights,Topic 62 words,Topic 62 weights,Topic 63 words,Topic 63 weights,Topic 64 words,Topic 64 weights,Topic 65 words,Topic 65 weights,Topic 66 words,Topic 66 weights,Topic 67 words,Topic 67 weights,Topic 68 words,Topic 68 weights,Topic 69 words,Topic 69 weights,Topic 70 words,Topic 70 weights,Topic 71 words,Topic 71 weights,Topic 72 words,Topic 72 weights,Topic 73 words,Topic 73 weights,Topic 74 words,Topic 74 weights,Topic 75 words,Topic 75 weights,Topic 76 words,Topic 76 weights,Topic 77 words,Topic 77 weights,Topic 78 words,Topic 78 weights,Topic 79 words,Topic 79 weights,Topic 80 words,Topic 80 weights,Topic 81 words,Topic 81 weights,Topic 82 words,Topic 82 weights,Topic 83 words,Topic 83 weights,Topic 84 words,Topic 84 weights,Topic 85 words,Topic 85 weights,Topic 86 words,Topic 86 weights,Topic 87 words,Topic 87 weights,Topic 88 words,Topic 88 weights,Topic 89 words,Topic 89 weights,Topic 90 words,Topic 90 weights,Topic 91 words,Topic 91 weights,Topic 92 words,Topic 92 weights,Topic 93 words,Topic 93 weights,Topic 94 words,Topic 94 weights,Topic 95 words,Topic 95 weights,Topic 96 words,Topic 96 weights,Topic 97 words,Topic 97 weights,Topic 98 words,Topic 98 weights,Topic 99 words,Topic 99 weights
água,1244.5,reabilitação,842.3,mão,2508.4,receita,858.2,instalação,474.6,vigente,3543.0,permanente,1244.3,impressão,1421.5,refeições,482.7,ufjf,765.4,projeto,902.9,desratização,692.2,es,481.9,batalhão,420.0,prestado,666.8,curso,916.3,laboratório,859.5,hospitalar,2669.2,postais,945.1,contratacao,503.0,executiva,2329.3,especiais,386.5,universitário,566.4,medicamentos,1091.2,cozinha,488.5,elevadores,798.4,gases,541.6,aquisicao,601.1,publicidade,882.8,mineral,1199.1,eventos,794.4,estabelecidas,1465.1,especificações,2219.3,garantia,366.8,vigilância,1911.9,mobiliário,450.6,solução,745.1,laboratoriais,598.9,fardamento,366.6,frota,1236.9,impressora,457.1,óleo,539.6,ac,261.1,transporte,707.2,consumo,3174.6,transmissão,433.3,fixo,1775.4,ar,1833.9,proteção,372.2,médicos,1222.3,energia,2802.5,fibra,191.9,incêndio,496.0,saúde,1392.0,corretiva,2323.9,veículo,550.3,pnld,393.0,emergência,368.6,campus,405.1,passagens,954.3,refrigeração,431.6,ufsc,437.7,instalações,484.2,expediente,585.7,digitais,302.3,gerador,394.5,telefonia,1764.9,especialidade,461.5,gêneros,2910.7,aérea,326.3,valor,515.0,informática,947.1,imóvel,1212.2,resíduos,835.7,km,1102.5,processos,263.3,jornais,208.9,projeto,786.6,limpeza,2237.1,porto,791.0,engenharia,1221.2,sala,277.9,administrativo,802.8,sudeste,354.1,especificação,1004.7,ifrs,356.8,veículos,766.2,carimbos,460.6,voos,430.1,mato,594.7,preço,639.6,familiar,1434.5,software,1267.9,seguro,822.2,cadeiras,537.5,bens,668.8,ml,370.5,tensão,397.3,meses,1217.0,assinatura,408.0
esgoto,1193.6,próteses,526.8,obra,2393.5,brasil,749.2,montagem,434.1,protegida,3530.4,copeiragem,541.1,outsourcing,665.1,viaturas,417.8,escolar,432.6,apoio,888.9,desinsetização,572.6,animais,336.2,pavilhão,275.2,estabelecidas,616.9,graduação,408.6,equipamentos,225.7,médico,2475.1,correios,575.4,servico,441.1,gerência,2219.2,livros,306.9,santa,512.8,19,436.0,copa,379.1,manutenção,675.7,servicos,530.3,máquina,286.7,legal,858.6,gás,1107.5,organização,523.2,condições,1460.7,conforme,2204.0,placa,222.9,armada,1393.3,odontológicos,362.6,garantia,456.5,exames,596.9,integração,283.6,veículos,1095.1,pb,375.9,diesel,479.3,ifpe,241.5,rodoviário,371.6,gex,499.0,geração,429.3,comutado,761.4,condicionado,1261.2,individual,310.3,hospitalares,1018.6,elétrica,2507.2,basico,145.6,combate,364.0,fusex,1388.0,manutenção,2243.3,viatura,468.2,livro,363.8,urgência,337.4,rn,337.5,agenciamento,880.6,climatização,306.2,elétrico,293.4,elétricas,357.3,materiais,288.0,dados,286.6,grupo,284.8,móvel,1102.2,área,415.0,alimentícios,2660.2,força,254.0,000,374.9,equipamentos,428.4,locação,948.7,coleta,736.3,br,928.8,secretaria,187.8,consultoria,206.1,pesquisa,576.6,conservação,1734.3,alegre,584.9,comum,637.8,base,215.8,terceirizados,701.0,in,231.1,equipamento,864.3,suest,220.2,motorista,666.0,permanentes,328.7,viagens,391.1,grosso,586.9,empreitada,579.5,agricultura,1360.6,suporte,1149.2,boa,343.7,ifsc,530.2,imóveis,662.8,lavagem,256.2,alta,296.9,12,1065.3,descrito,277.6
laboratorial,942.6,órteses,470.5,exclusiva,2037.4,federal,556.3,divisórias,318.3,sigilo,3529.5,recepção,452.5,impressoras,609.6,mt,348.5,alimentação,427.9,gestão,837.7,controle,512.6,ata,276.9,lote,240.5,documentos,607.5,treinamento,362.3,química,150.8,assistência,1643.3,produtos,567.3,prestacao,329.7,inss,1850.1,opme,277.4,ufsm,454.4,covid,405.9,industrial,346.8,corretiva,648.5,projetos,517.9,iftm,239.3,distribuição,676.8,água,836.8,pnr,277.1,edital,1206.0,termo,1963.6,entrega,183.5,patrimonial,845.9,café,331.7,suporte,346.2,imagem,393.3,agente,281.8,gerenciamento,909.8,padrão,311.8,uso,379.5,estado,232.6,ibge,285.2,unidades,471.7,porta,328.5,telefônico,749.9,internet,1051.5,lanagro,286.4,especializados,549.4,eletrica,432.0,óptica,140.5,aquisiçao,350.2,beneficiários,1323.6,preventiva,2182.3,sanitário,463.6,didático,340.2,24,332.7,construção,283.3,viagens,806.8,manutenção,270.7,vale,290.7,reforma,246.2,ifpa,230.9,processamento,243.8,si,278.1,fixa,870.7,oftalmologia,385.5,quantitativo,944.0,odontologia,230.1,mil,372.3,suprimentos,248.1,rua,712.8,final,593.5,entr,503.2,direitos,174.0,geradores,195.9,apoio,546.9,higienização,760.8,polícia,414.5,predial,518.7,polo,196.2,apoio,700.7,estoque,156.8,técnica,835.8,funasa,189.6,motoristas,417.4,diversos,310.2,domésticos,390.8,sul,304.1,global,415.2,alimentos,948.4,licenças,684.0,acidentes,332.0,poltronas,283.6,gráficos,530.6,patrocínio,240.4,subestação,237.9,período,749.0,primeira,275.2
univasf,789.9,profissional,429.8,dedicação,1948.8,delegacia,510.9,desmontagem,209.0,legislação,3515.6,cabos,244.9,locação,516.0,cuiabá,253.9,hospital,383.2,financeira,831.1,pragas,464.7,setores,230.1,infantaria,205.1,condições,604.5,capacitação,356.8,galpão,126.8,usuários,797.0,venda,379.5,pi,278.3,vinculadas,1846.9,órteses,249.2,maria,437.7,transporte,339.9,higiene,238.5,preventiva,645.9,arquitetura,338.1,inscrição,177.9,eletrônica,583.0,20,660.1,notebooks,200.6,termo,1141.4,edital,1885.8,mecânica,179.2,desarmada,831.5,diversas,271.9,instalação,258.9,diagnóstico,374.5,estágio,210.0,combustíveis,780.2,cartucho,266.8,cessão,339.9,pavimentação,203.3,passageiros,243.9,vinculadas,326.6,credenciamento,306.1,longa,731.9,aparelhos,921.2,epi,260.2,comando,367.0,siape,307.2,estruturas,134.5,prevenção,274.1,sammed,1091.3,peças,1619.4,tipo,449.6,ensino,319.8,saúde,310.2,instituto,251.4,aéreas,647.2,corretiva,198.8,telecomunicações,253.0,reparos,232.0,tradução,133.3,pacote,243.6,ltda,275.0,pessoal,533.8,especialidades,377.8,subsistência,941.2,guarnição,163.4,00,301.1,munição,241.0,situado,573.8,transporte,500.2,rodovia,430.9,tic,167.6,gráfico,185.0,lavanderia,527.5,asseio,451.7,rodoviária,373.9,comuns,514.4,público,141.7,auxiliar,646.1,regional,153.0,conforme,602.9,odontológico,183.7,locação,412.7,confecção,275.2,regulares,378.5,monitor,160.0,regime,398.1,alimentícios,635.8,técnico,662.5,vista,324.7,câmpus,271.6,manutenção,346.4,realização,235.6,baixa,206.9,doze,635.9,ifpr,258.9
coleta,602.2,medida,417.9,continuados,1208.9,chaveiro,222.7,goiânia,205.3,informação,3460.9,fiocruz,155.5,reprografia,476.1,campus,172.4,pública,368.7,administrativa,529.8,dedetização,391.6,ibama,196.2,rural,188.2,técnicos,555.7,pós,344.3,sv,113.2,fisioterapia,694.4,ect,350.9,servicos,225.4,unidades,1760.5,próteses,239.1,hospital,402.7,terrestre,266.7,piscina,143.8,elevador,417.9,prestacao,319.3,copiadora,130.7,impressa,558.2,litros,659.0,correlatos,186.4,referência,1014.3,referência,1701.9,técnica,166.5,segurança,717.7,procuradoria,174.6,rede,253.2,realização,244.6,amazônia,205.4,administração,500.7,campina,235.4,aviação,283.9,codevasf,201.6,estadual,234.9,linha,316.9,hidráulica,297.7,stfc,675.5,manutenção,640.8,proveito,236.3,brigada,352.7,unidade,270.0,13,116.1,vidro,218.5,dependentes,611.1,marca,1061.8,transporte,416.6,nacional,305.3,assistência,298.2,campos,215.3,emissão,612.7,preventiva,193.6,comunicação,235.9,prediais,205.5,marabá,123.1,certificados,241.7,almoxarifado,240.2,comutada,437.2,saúde,353.3,qs,608.5,ocs,163.2,cinco,271.1,filtro,178.3,nº,436.0,destinação,473.5,div,336.8,tecnologia,157.2,circulação,165.0,extensão,416.6,materiais,406.1,militar,366.5,manutenção,393.1,leiloeiro,133.0,recepcionista,550.6,superintendência,149.7,análises,500.7,quadra,147.9,papel,398.6,materiais,249.2,órgãos,314.1,federal,115.3,cnen,294.0,gêneros,623.1,atualização,594.5,pessoais,323.8,placas,233.9,móveis,339.2,mesa,231.0,média,196.2,60,230.9,cláusula,232.7
uso,551.8,favor,373.8,disponibilização,1136.3,dtcea,222.0,persianas,203.2,termos,3430.6,escritório,150.3,digitalização,421.4,almoço,159.9,veicular,333.8,atividades,495.9,descupinização,372.0,srp,191.0,construção,178.7,demais,553.4,especialização,248.3,pesados,101.4,fusex,633.5,brasileira,275.8,stu,187.9,atender,1186.0,materiais,206.0,husm,269.7,enfrentamento,231.9,limpeza,134.5,ferramentas,355.9,engenharia,308.5,ifms,122.2,ou,488.6,glp,458.6,planejamento,163.8,quantidades,941.4,quantitativos,1653.7,assistência,151.4,vigilancia,310.1,fazenda,169.8,site,240.8,periódicos,230.2,superior,190.7,informatizado,483.3,samsung,211.6,espaço,281.4,rr,189.6,cargas,223.1,atender,307.4,psicologia,291.3,distância,653.6,corretiva,548.4,laboratorio,173.9,motorizada,289.4,distribuição,235.0,projeto,112.8,contra,192.3,pass,568.0,equipamentos,737.1,água,319.9,anos,300.6,horas,298.0,catarinense,213.5,nacionais,491.0,chaves,189.1,dados,213.8,telhado,186.4,branca,99.5,meio,231.8,virtual,196.3,smp,379.5,médicos,339.8,alimenticios,445.8,uti,154.3,cento,195.2,combustível,157.0,agência,361.9,tratamento,429.8,trecho,335.9,informação,154.6,grupos,160.1,desenvolvimento,369.3,jardinagem,387.3,policlínica,278.8,concreto,219.6,bacen,128.3,campus,486.5,sinalização,130.3,clínicas,459.6,ala,136.8,condução,381.0,sob,160.2,agenciamento,308.4,língua,109.4,unitário,250.3,escolar,594.7,licença,499.7,alunos,295.7,florianópolis,204.2,áreas,326.3,roupas,228.5,ufrgs,185.4,prazo,222.6,anual,187.5
tratamento,461.9,paciente,343.3,regime,1088.0,monitoramento,216.5,ifg,201.9,oficial,458.4,semanais,147.3,equipamentos,366.7,preparo,158.4,básica,321.2,logístico,440.7,extintores,339.3,registro,188.4,adequação,162.4,encontram,526.3,ministrar,228.0,leves,100.9,saúde,564.2,telégrafos,272.9,led,166.9,consumo,1175.4,bibliográfico,202.5,universidade,224.8,potável,212.0,fins,119.6,peças,314.4,executivos,237.6,consumo,121.2,interesse,345.3,liquefeito,440.8,próprios,144.5,exigências,929.0,estabelecidos,1578.7,referente,143.6,noturna,279.2,pó,142.4,configuração,239.1,pacientes,188.7,ti,183.3,oficiais,417.8,suprimento,206.8,gasolina,267.6,poços,186.7,interestadual,198.6,subordinadas,229.8,saúde,265.8,local,633.4,preventiva,536.8,equipamentos,169.0,infantaria,286.4,concessionária,198.1,bebidas,81.0,microcomputadores,185.0,militares,469.9,modelo,547.0,esgotamento,318.7,dependência,293.3,quatro,278.2,federal,197.3,remarcação,435.3,sistema,184.1,funcional,177.3,prédio,184.4,cola,95.9,correios,204.3,motor,179.6,nan,210.4,cirurgia,333.7,generos,343.9,mento,118.7,10,194.8,balança,119.1,centro,333.7,sólidos,326.0,recuperação,328.9,técnicos,151.4,publicação,155.2,fundação,325.0,equipamentos,318.6,velho,278.2,bomba,219.4,leilão,106.9,continuados,415.3,modular,113.5,reagentes,458.8,fase,124.3,a4,290.8,equipamentos,148.4,internacionais,295.7,ginásio,101.2,ipen,250.3,alimentação,570.5,manutenção,437.7,coletivo,260.3,sofás,192.8,externas,240.6,evento,213.7,corpo,162.7,periodo,182.6,digital,156.6
contidas,452.7,segurados,340.0,conservação,553.0,cftv,196.7,contrataçao,175.2,diário,416.9,limpeza,124.2,papel,356.6,alimentação,157.7,familiar,282.4,desenvolvimento,328.6,recarga,278.2,preços,172.8,2º,138.2,anexos,512.3,sensu,197.6,temperatura,100.2,médica,525.9,malote,221.8,teresina,161.8,necessidades,967.9,fita,191.9,colégio,184.4,emergencial,201.6,general,118.3,preditiva,239.8,medicinais,229.8,gexmos,115.2,ebc,191.0,petróleo,402.5,institucionais,142.3,conforme,912.9,anexo,1392.7,reservatórios,142.7,intendência,273.2,torrado,118.8,on,236.8,radiologia,187.7,contratos,152.0,cartão,410.4,pep,205.8,concessão,261.4,regional,164.4,intermunicipal,186.9,cabo,205.5,autônomo,224.1,móvel,481.1,instalação,518.1,medicamento,166.6,13ª,254.7,consumidora,186.2,descargas,79.1,bombas,184.2,exército,276.5,reposição,543.9,indígena,317.0,específica,278.0,domiciliar,274.3,cruz,188.4,cancelamento,432.6,equipamentos,162.3,rede,151.4,engenharia,166.9,ifrr,80.1,emissão,200.1,web,155.4,local,191.3,exames,330.9,qr,281.0,hospital,117.6,oito,179.9,gráficas,95.2,bairro,305.8,lixo,288.3,segmento,327.4,ministério,148.5,revistas,152.8,dar,290.4,reparo,315.7,federal,240.0,automotores,195.4,junta,95.1,portaria,328.4,atender,106.4,calibração,349.7,tintas,118.8,transporte,270.6,insumos,147.4,atendidos,282.9,estados,90.9,nº,210.7,pnae,454.5,uso,403.8,campus,257.2,baterias,190.7,internas,236.6,cultural,195.3,nobreak,120.1,anatel,154.8,revista,150.9
características,445.6,prontuário,289.1,limpeza,548.7,sistema,170.0,cabeamento,163.0,publicação,378.2,44,114.7,máquinas,318.6,transformadores,157.6,pnae,282.3,administrativo,326.9,urbanas,247.8,cetas,149.1,técnica,136.7,engenharia,420.7,cursos,196.8,eletronico,98.1,credenciamento,525.1,atendam,213.5,consiste,143.3,permanente,558.0,consignação,188.2,federal,177.9,distribuição,186.3,ativa,111.5,plataforma,195.6,contratacao,163.6,participação,114.7,contratante,190.2,garrafões,332.6,residenciais,140.1,prestados,798.2,pregão,1166.4,pressão,139.2,diurna,263.5,vinculados,97.3,armazenamento,228.3,médicos,168.8,especializadas,134.3,abastecimento,384.7,previdência,204.4,advocacia,236.6,atuação,161.1,automotivo,149.0,af,197.3,uhe,218.9,nacional,394.5,acesso,512.7,cartuchos,157.6,medicos,146.9,tensão,183.9,música,78.6,portas,175.0,médicos,271.1,acessórios,476.3,especial,270.2,decorrentes,275.0,diárias,271.8,to,168.4,hu,370.5,ar,153.8,assentamento,144.5,readequação,166.2,cm,79.3,produtos,186.4,celebram,153.5,internet,182.3,correlatas,321.0,alimentação,279.9,médicas,116.7,200,161.1,rastreamento,93.8,abrigar,294.4,químicos,223.8,subtrecho,270.2,desenvolvimento,144.7,solar,141.7,kit,267.8,continuados,229.1,ro,202.1,fiscalização,188.2,oficial,94.7,ifc,309.4,assinaturas,100.8,comodato,345.4,campus,99.4,pe,242.1,sinapi,144.8,credenciadas,257.5,cruzeiro,85.0,mediante,208.4,compra,394.4,softwares,316.4,vida,245.9,gerências,179.4,ifce,215.8,bndes,187.7,subestações,119.5,2019,140.9,conforme,150.3
demais,363.4,sob,288.8,prestados,520.9,alarme,168.8,go,162.2,união,328.4,atender,113.8,multifuncionais,307.1,ufma,137.1,alunos,281.9,intitulado,236.3,vetores,245.6,vitória,145.7,ater,129.1,básico,417.7,projeto,187.4,materiais,87.8,pass,506.2,sedex,201.5,manutencao,119.8,sp,526.3,aço,178.6,normas,162.9,coleta,177.2,materiais,100.6,instalado,183.0,cilindros,158.1,lagoas,110.3,imprensa,164.4,natural,309.0,apoio,135.5,anexo,787.2,eletrônico,723.0,caixas,110.0,continuados,234.7,moído,97.0,meses,226.8,procedimentos,145.6,agronomia,126.1,manutenção,379.4,toner,202.9,comum,207.3,ufv,142.4,carga,143.8,necessidades,195.0,superintendência,208.8,modalidades,346.8,link,494.9,uniformes,157.3,eventual,140.9,fiscal,181.6,pcr,72.6,instalação,153.4,civis,261.5,componentes,351.6,ônibus,269.7,mj,272.2,hospitalar,235.1,palmas,160.0,internacionais,321.5,sistemas,145.0,corporativo,142.9,adequações,157.4,re,69.2,digital,172.7,fazem,145.2,dados,169.3,clínica,312.2,rancho,267.9,organização,116.2,cinquenta,157.7,nefrologia,81.0,localizado,273.0,ifrn,216.9,extensão,234.2,gestão,128.0,usina,132.5,ensino,245.1,predial,219.5,policiais,177.5,agrícolas,155.6,horizontal,94.3,atender,285.1,company,94.2,teste,264.6,poliesportiva,94.2,atender,232.9,verde,133.4,dosimetria,219.7,computador,84.1,processo,202.3,programa,373.7,sistema,306.3,estagiários,219.3,permanente,173.0,conjunto,199.8,oficina,160.0,entrada,114.9,sessenta,138.8,líquido,142.4
